Ranges: [0.000040-0.000065, 0.000065-0.000105, 0.000105-0.000169, 0.000169-0.000274, 0.000274-0.000443, 0.000443-0.000718, 0.000718-0.001161, 0.001161-0.001879, 0.001879-0.003040, 0.003040-0.004918, 0.004918-0.007958, 0.007958-0.012876, 0.012876-0.020833, 0.020833-0.033709, 0.033709-0.054543, 0.054543-0.088252, 0.088252-0.142794, 0.142794-0.231046, 0.231046-0.373840, 0.373840-0.604886, 0.604886-0.978727, 0.978727-0.999960]
Range_scores: [0.953018, 0.960384, 0.942982, 1.198338, 1.511891, 1.194883, 1.194883, 1.535352, 1.198338, 1.213425, 1.508983, 1.195458, 0.954854, 0.964089, 0.964089, 0.958999, 0.959460, 0.952102, 0.947531, 0.956694, 0.952102, 0.949357]
Miss_counts: [25000, 21000, 30500, 31000, 35500, 32500, 32500, 27500, 31000, 25500, 37500, 32500, 24500, 19500, 19000, 22000, 21500, 25500, 28000, 23000, 25500, 27000]
Range_probabilities: [0.039434, 0.039739, 0.039019, 0.049585, 0.062560, 0.049442, 0.049442, 0.063530, 0.049585, 0.050210, 0.062439, 0.049466, 0.039510, 0.039892, 0.039892, 0.039682, 0.039701, 0.039396, 0.039207, 0.039586, 0.039396, 0.039283]
Range_scores: [0.953018, 0.960384, 0.942982, 1.198338, 1.511891, 1.193734, 1.194883, 1.535352, 1.198338, 1.213425, 1.508983, 1.195458, 0.954854, 0.964089, 0.964089, 0.958999, 0.959460, 0.952102, 0.947531, 0.956694, 0.952102, 0.949357]
Miss_counts: [25000, 21000, 30500, 31000, 35500, 33000, 32500, 27500, 31000, 25500, 37500, 32500, 24500, 19500, 19000, 22000, 21500, 25500, 28000, 23000, 25500, 27000]
Range_probabilities: [0.039436, 0.039741, 0.039021, 0.049588, 0.062563, 0.049397, 0.049445, 0.063533, 0.049588, 0.050212, 0.062442, 0.049468, 0.039512, 0.039894, 0.039894, 0.039684, 0.039703, 0.039398, 0.039209, 0.039588, 0.039398, 0.039285]
Range_scores: [0.953018, 0.960384, 0.942982, 1.198338, 1.511891, 1.193734, 1.194883, 1.535352, 1.198338, 1.213425, 1.507532, 1.195458, 0.954854, 0.964089, 0.964089, 0.958999, 0.959460, 0.952102, 0.947531, 0.956694, 0.952102, 0.949357]
Miss_counts: [25000, 21000, 30500, 31000, 35500, 33000, 32500, 27500, 31000, 25500, 38000, 32500, 24500, 19500, 19000, 22000, 21500, 25500, 28000, 23000, 25500, 27000]
Range_probabilities: [0.039439, 0.039743, 0.039023, 0.049591, 0.062566, 0.049400, 0.049448, 0.063537, 0.049591, 0.050215, 0.062386, 0.049471, 0.039515, 0.039897, 0.039897, 0.039686, 0.039705, 0.039401, 0.039212, 0.039591, 0.039401, 0.039287]
Range_scores: [0.953018, 0.960384, 0.942982, 1.198338, 1.511891, 1.193734, 1.194883, 1.535352, 1.198338, 1.213425, 1.506082, 1.195458, 0.954854, 0.964089, 0.964089, 0.958999, 0.959460, 0.952102, 0.947531, 0.956694, 0.952102, 0.949357]
