Ranges: [0.000049-0.000079, 0.000079-0.000128, 0.000128-0.000207, 0.000207-0.000334, 0.000334-0.000541, 0.000541-0.000875, 0.000875-0.001416, 0.001416-0.002291, 0.002291-0.003707, 0.003707-0.005998, 0.005998-0.009706, 0.009706-0.015704, 0.015704-0.025410, 0.025410-0.041114, 0.041114-0.066524, 0.066524-0.107638, 0.107638-0.174161, 0.174161-0.281799, 0.281799-0.455960, 0.455960-0.737758, 0.737758-0.999951]
Range_probabilities: [0.003185, 0.003201, 0.004060, 0.005169, 0.004069, 0.010618, 0.056637, 0.035325, 0.008363, 0.004067, 0.008363, 0.189979, 0.616735, 0.027851, 0.003201, 0.003201, 0.003198, 0.003191, 0.003201, 0.003194, 0.003191]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 59.299515, 192.691195, 8.701787, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 1500, 10000, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.003186, 0.003201, 0.004060, 0.005170, 0.004070, 0.010620, 0.056648, 0.035332, 0.008365, 0.004068, 0.008365, 0.189831, 0.616848, 0.027856, 0.003201, 0.003201, 0.003198, 0.003192, 0.003201, 0.003195, 0.003192]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 59.242471, 192.691195, 8.701787, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 2000, 10000, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.003186, 0.003202, 0.004061, 0.005171, 0.004071, 0.010622, 0.056658, 0.035338, 0.008366, 0.004069, 0.008366, 0.189683, 0.616960, 0.027861, 0.003202, 0.003202, 0.003199, 0.003193, 0.003202, 0.003196, 0.003193]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 59.242471, 192.598492, 8.701787, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 2000, 10500, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.003187, 0.003203, 0.004062, 0.005172, 0.004072, 0.010625, 0.056675, 0.035349, 0.008369, 0.004070, 0.008369, 0.189739, 0.616847, 0.027870, 0.003203, 0.003203, 0.003200, 0.003194, 0.003203, 0.003197, 0.003194]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 59.242471, 192.413220, 8.701787, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 2000, 11000, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.003189, 0.003205, 0.004065, 0.005175, 0.004074, 0.010631, 0.056708, 0.035370, 0.008374, 0.004072, 0.008374, 0.189852, 0.616619, 0.027886, 0.003205, 0.003205, 0.003202, 0.003195, 0.003205, 0.003198, 0.003195]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 59.185482, 192.413220, 8.701787, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 2500, 11000, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.003190, 0.003205, 0.004065, 0.005176, 0.004075, 0.010633, 0.056719, 0.035376, 0.008375, 0.004073, 0.008375, 0.189704, 0.616732, 0.027891, 0.003205, 0.003205, 0.003202, 0.003196, 0.003205, 0.003199, 0.003196]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 59.128548, 192.413220, 8.701787, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 3000, 11000, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.003190, 0.003206, 0.004066, 0.005177, 0.004076, 0.010635, 0.056729, 0.035383, 0.008377, 0.004074, 0.008377, 0.189556, 0.616844, 0.027896, 0.003206, 0.003206, 0.003203, 0.003197, 0.003206, 0.003200, 0.003197]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 59.071669, 192.413220, 8.701787, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 3500, 11000, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.003191, 0.003206, 0.004067, 0.005178, 0.004077, 0.010637, 0.056739, 0.035389, 0.008378, 0.004075, 0.008378, 0.189408, 0.616957, 0.027902, 0.003206, 0.003206, 0.003203, 0.003197, 0.003206, 0.003200, 0.003197]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 59.071669, 192.228126, 8.701787, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 3500, 11500, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.003193, 0.003208, 0.004069, 0.005181, 0.004079, 0.010643, 0.056773, 0.035410, 0.008383, 0.004077, 0.008383, 0.189521, 0.616729, 0.027918, 0.003208, 0.003208, 0.003205, 0.003199, 0.003208, 0.003202, 0.003199]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 75.140323, 311.031642, 11.068844, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 3500, 0, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.002217, 0.002228, 0.002825, 0.003597, 0.002832, 0.007390, 0.039417, 0.024585, 0.005821, 0.002831, 0.005821, 0.167377, 0.692831, 0.024656, 0.002228, 0.002228, 0.002225, 0.002221, 0.002228, 0.002223, 0.002221]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 75.140323, 310.732442, 11.068844, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 3500, 500, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.002218, 0.002229, 0.002827, 0.003600, 0.002834, 0.007395, 0.039444, 0.024601, 0.005824, 0.002833, 0.005824, 0.167489, 0.692626, 0.024673, 0.002229, 0.002229, 0.002227, 0.002223, 0.002229, 0.002225, 0.002223]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 75.068041, 310.732442, 11.068844, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 4000, 500, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.002219, 0.002229, 0.002828, 0.003600, 0.002834, 0.007396, 0.039450, 0.024605, 0.005825, 0.002833, 0.005825, 0.167354, 0.692737, 0.024677, 0.002229, 0.002229, 0.002227, 0.002223, 0.002229, 0.002225, 0.002223]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 75.068041, 310.433529, 11.068844, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 4000, 1000, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.002220, 0.002231, 0.002830, 0.003603, 0.002836, 0.007401, 0.039476, 0.024622, 0.005829, 0.002835, 0.005829, 0.167466, 0.692533, 0.024693, 0.002231, 0.002231, 0.002229, 0.002224, 0.002231, 0.002227, 0.002224]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 75.068041, 310.134904, 11.068844, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 4000, 1500, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.002222, 0.002232, 0.002831, 0.003605, 0.002838, 0.007406, 0.039503, 0.024638, 0.005833, 0.002837, 0.005833, 0.167578, 0.692328, 0.024709, 0.002232, 0.002232, 0.002230, 0.002226, 0.002232, 0.002228, 0.002226]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 74.995829, 310.134904, 11.068844, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 4500, 1500, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.002222, 0.002233, 0.002832, 0.003606, 0.002839, 0.007407, 0.039509, 0.024642, 0.005834, 0.002837, 0.005834, 0.167443, 0.692439, 0.024713, 0.002233, 0.002233, 0.002231, 0.002226, 0.002233, 0.002228, 0.002226]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.695596, 11.036931, 2.613000, 1.270796, 2.613000, 74.923686, 310.134904, 11.068844, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8000, 2500, 1000, 500, 1000, 5000, 1500, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.002222, 0.002233, 0.002832, 0.003606, 0.002839, 0.007408, 0.039515, 0.024646, 0.005835, 0.002838, 0.005835, 0.167309, 0.692551, 0.024717, 0.002233, 0.002233, 0.002231, 0.002227, 0.002233, 0.002229, 0.002227]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.678574, 11.036931, 2.613000, 1.270796, 2.613000, 74.923686, 310.134904, 11.068844, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8500, 2500, 1000, 500, 1000, 5000, 1500, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.002222, 0.002233, 0.002832, 0.003606, 0.002839, 0.007408, 0.039479, 0.024647, 0.005835, 0.002838, 0.005835, 0.167316, 0.692577, 0.024718, 0.002233, 0.002233, 0.002231, 0.002227, 0.002233, 0.002229, 0.002227]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.678574, 11.036931, 2.613000, 1.270796, 2.613000, 74.851612, 310.134904, 11.068844, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8500, 2500, 1000, 500, 1000, 5500, 1500, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.002223, 0.002234, 0.002833, 0.003607, 0.002840, 0.007409, 0.039485, 0.024651, 0.005836, 0.002838, 0.005836, 0.167182, 0.692689, 0.024722, 0.002234, 0.002234, 0.002231, 0.002227, 0.002234, 0.002229, 0.002227]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.678574, 11.036931, 2.613000, 1.270796, 2.613000, 74.851612, 309.836567, 11.068844, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8500, 2500, 1000, 500, 1000, 5500, 2000, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.002224, 0.002235, 0.002835, 0.003609, 0.002842, 0.007414, 0.039512, 0.024668, 0.005840, 0.002840, 0.005840, 0.167293, 0.692484, 0.024739, 0.002235, 0.002235, 0.002233, 0.002229, 0.002235, 0.002231, 0.002229]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.678574, 11.036931, 2.613000, 1.270796, 2.613000, 74.851612, 309.538516, 11.068844, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8500, 2500, 1000, 500, 1000, 5500, 2500, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.002226, 0.002236, 0.002837, 0.003612, 0.002843, 0.007419, 0.039538, 0.024684, 0.005844, 0.002842, 0.005844, 0.167405, 0.692279, 0.024755, 0.002236, 0.002236, 0.002234, 0.002230, 0.002236, 0.002232, 0.002230]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.678574, 11.036931, 2.613000, 1.270796, 2.613000, 74.851612, 309.240752, 11.068844, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8500, 2500, 1000, 500, 1000, 5500, 3000, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.002227, 0.002238, 0.002839, 0.003614, 0.002845, 0.007424, 0.039564, 0.024700, 0.005848, 0.002844, 0.005848, 0.167516, 0.692074, 0.024772, 0.002238, 0.002238, 0.002236, 0.002232, 0.002238, 0.002234, 0.002232]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.678574, 11.036931, 2.613000, 1.270796, 2.613000, 95.212721, 500.362048, 14.079787, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
Miss_counts: [2500, 0, 1500, 1000, 500, 2000, 8500, 2500, 1000, 500, 1000, 5500, 0, 1500, 0, 0, 500, 1500, 0, 1000, 1500]
Range_probabilities: [0.001505, 0.001512, 0.001918, 0.002442, 0.001923, 0.005016, 0.026732, 0.016689, 0.003951, 0.001922, 0.003951, 0.143973, 0.756605, 0.021290, 0.001512, 0.001512, 0.001511, 0.001508, 0.001512, 0.001509, 0.001508]
Range_scores: [0.995199, 1.000000, 1.268352, 1.614923, 1.271408, 3.317395, 17.678574, 11.036931, 2.613000, 1.270796, 2.613000, 95.166915, 500.362048, 14.079787, 1.000000, 1.000000, 0.999038, 0.997117, 1.000000, 0.998077, 0.997117]
